Saturday 17th November 2018,4 5 9 12 17 42 32 
Wednesday 14th November 2018,4 11 20 45 48 53 16 
Saturday 10th November 2018,7 12 17 38 42 44 53 
Wednesday 7th November 2018,4 5 9 40 46 59 58 
Saturday 3rd November 2018,16 31 41 45 47 52 53 
Wednesday 31st October 2018,5 14 20 24 28 45 21 
Saturday 27th October 2018,1 6 25 26 31 39 56 
Wednesday 24th October 2018,9 22 32 40 51 59 17 
Saturday 20th October 2018,12 18 40 42 46 59 49 
Wednesday 17th October 2018,1 5 6 20 51 54 56 
Saturday 13th October 2018,19 26 40 52 56 58 38 
Wednesday 10th October 2018,10 49 50 53 54 56 4 
Saturday 6th October 2018,23 26 30 32 37 39 5 
Wednesday 3rd October 2018,3 5 11 25 27 45 18 
Saturday 29th September 2018,17 36 40 44 54 58 27 
Wednesday 26th September 2018,3 8 37 39 47 59 42 
Saturday 22nd September 2018,5 16 18 20 25 55 36 
Wednesday 19th September 2018,7 20 25 26 34 40 59 
Saturday 15th September 2018,25 42 48 50 55 58 44 
Wednesday 12th September 2018,11 12 13 14 54 56 36 
Saturday 8th September 2018,7 19 33 34 52 53 48 
Wednesday 5th September 2018,12 18 22 23 48 59 47 
Saturday 1st September 2018,3 21 22 38 46 55 50 
Wednesday 29th August 2018,19 23 30 50 51 54 55 
Saturday 25th August 2018,9 22 33 39 41 56 48 
Wednesday 22nd August 2018,15 20 21 25 34 47 36 
Saturday 18th August 2018,1 2 6 12 13 55 11 
Wednesday 15th August 2018,3 28 34 41 48 58 54 
Saturday 11th August 2018,1 3 10 18 19 37 57 
Wednesday 8th August 2018,8 19 20 27 31 34 7 
Saturday 4th August 2018,5 17 23 25 34 51 52 
Wednesday 1st August 2018,15 17 18 34 46 54 4 
Saturday 28th July 2018,11 29 31 32 38 45 10 
Wednesday 25th July 2018,5 19 20 23 30 43 6 
Saturday 21st July 2018,9 13 16 25 40 46 52 
Wednesday 18th July 2018,22 34 44 49 51 53 33 
Saturday 14th July 2018,4 8 13 26 41 55 58 
Wednesday 11th July 2018,8 11 17 25 33 46 13 
Saturday 7th July 2018,17 18 29 48 52 54 1 
Wednesday 4th July 2018,8 13 22 46 52 58 7 
Saturday 30th June 2018,6 28 32 45 46 49 50 
Wednesday 27th June 2018,4 41 45 54 57 58 26 
Saturday 23rd June 2018,1 10 15 25 31 47 53 
Wednesday 20th June 2018,15 22 26 35 41 43 1 
Saturday 16th June 2018,10 18 36 37 41 46 8 
Wednesday 13th June 2018,5 15 22 33 38 45 11 
Saturday 9th June 2018,3 17 20 55 56 58 57 
Wednesday 6th June 2018,12 22 31 35 42 58 55 
Saturday 2nd June 2018,4 32 38 43 51 58 10 
Wednesday 30th May 2018,4 5 8 26 32 39 16 
Saturday 26th May 2018,9 14 19 29 39 40 3 
Wednesday 23rd May 2018,1 15 17 32 36 45 5 
Saturday 19th May 2018,1 3 34 36 48 52 22 
Wednesday 16th May 2018,4 22 26 32 48 54 57 
Saturday 12th May 2018,1 15 21 30 35 44 5 
Wednesday 9th May 2018,18 21 25 30 56 59 5 
Saturday 5th May 2018,2 9 14 49 52 56 41 
Wednesday 2nd May 2018,4 8 10 26 38 48 41 
Saturday 28th April 2018,3 11 37 38 43 44 20 
Wednesday 25th April 2018,5 14 18 40 41 50 12 
Saturday 21st April 2018,2 8 9 12 20 57 38 
Wednesday 18th April 2018,4 11 21 39 41 59 58 
Saturday 14th April 2018,10 40 42 46 47 48 38 
Wednesday 11th April 2018,21 25 32 52 56 59 28 
Saturday 7th April 2018,1 4 31 33 52 55 13 
Wednesday 4th April 2018,1 9 15 26 38 43 14 
Saturday 31st March 2018,6 8 20 26 35 36 39 
Wednesday 28th March 2018,2 6 7 15 52 54 45 
Saturday 24th March 2018,3 11 16 36 43 59 49 
Wednesday 21st March 2018,2 35 44 51 54 55 45 
Saturday 17th March 2018,7 8 13 24 45 46 39 
Wednesday 14th March 2018,7 19 38 45 47 53 15 
Saturday 10th March 2018,3 7 36 42 53 59 50 
Wednesday 7th March 2018,8 10 22 37 55 57 29 
Saturday 3rd March 2018,15 19 20 29 42 50 36 
Wednesday 28th February 2018,9 10 27 30 33 45 29 
Saturday 24th February 2018,2 11 35 40 48 55 7 
Wednesday 21st February 2018,14 25 29 30 35 53 38 
Saturday 17th February 2018,5 8 9 10 38 53 56 
Wednesday 14th February 2018,2 8 33 46 48 50 5 
Saturday 10th February 2018,3 12 15 29 51 58 13 
Wednesday 7th February 2018,5 19 29 34 40 45 57 
Saturday 3rd February 2018,8 26 27 29 49 58 38 
Wednesday 31st January 2018,5 19 21 42 44 57 18 
Saturday 27th January 2018,29 33 43 45 49 56 16 
Wednesday 24th January 2018,1 22 39 44 48 59 5 
Saturday 20th January 2018,2 10 19 28 29 31 47 
Wednesday 17th January 2018,30 33 37 43 55 56 46 
Saturday 13th January 2018,6 7 9 18 35 46 5 
Wednesday 10th January 2018,6 11 27 29 40 55 45 
Saturday 6th January 2018,18 28 31 32 44 51 50 
Wednesday 3rd January 2018,11 19 20 30 35 49 44 
Saturday 30th December 2017,33 37 42 47 55 58 34 
Wednesday 27th December 2017,18 36 48 57 58 59 50 
Saturday 23rd December 2017,20 32 36 44 47 56 41 
Wednesday 20th December 2017,10 20 28 38 41 46 16 
Saturday 16th December 2017,22 25 35 45 46 57 14 
Wednesday 13th December 2017,6 14 23 24 43 58 40 
Saturday 9th December 2017,2 32 37 39 46 54 19 
Wednesday 6th December 2017,3 19 24 31 50 52 16 
Saturday 2nd December 2017,4 9 13 32 46 50 52 
Wednesday 29th November 2017,20 32 42 43 53 58 8 
Saturday 25th November 2017,4 7 29 45 54 56 8 
Wednesday 22nd November 2017,2 16 17 27 36 37 42 
Saturday 18th November 2017,1 20 24 36 54 58 11 
Wednesday 15th November 2017,2 11 22 36 51 59 7 
Saturday 11th November 2017,4 16 27 30 41 49 54 
Wednesday 8th November 2017,2 17 25 32 42 49 4 
Saturday 4th November 2017,6 20 23 29 35 53 57 
Wednesday 1st November 2017,13 14 18 19 21 36 53 
Saturday 28th October 2017,8 15 33 42 55 58 53 
Wednesday 25th October 2017,1 3 11 37 49 58 21 
Saturday 21st October 2017,3 31 37 41 44 59 32 
Wednesday 18th October 2017,11 12 15 22 27 44 7 
Saturday 14th October 2017,6 22 40 43 47 58 42 
Wednesday 11th October 2017,17 38 49 54 55 56 13 
Saturday 7th October 2017,15 20 30 37 47 51 21 
Wednesday 4th October 2017,12 20 32 38 48 54 5 
Saturday 30th September 2017,13 18 21 30 50 54 20 
Wednesday 27th September 2017,30 35 45 47 52 55 40 
Saturday 23rd September 2017,17 18 26 39 54 56 57 
Wednesday 20th September 2017,8 20 25 50 51 58 45 
Saturday 16th September 2017,1 6 31 37 49 50 38 
Wednesday 13th September 2017,4 11 14 21 29 56 27 
Saturday 9th September 2017,4 7 13 49 56 58 6 
Wednesday 6th September 2017,16 30 34 50 52 53 46 
Saturday 2nd September 2017,30 33 35 40 41 59 8 
Wednesday 30th August 2017,34 42 46 57 58 59 38 
Saturday 26th August 2017,20 25 34 41 42 52 58 
Wednesday 23rd August 2017,8 16 21 41 44 56 45 
Saturday 19th August 2017,12 25 39 46 52 55 3 
Wednesday 16th August 2017,7 17 28 43 44 45 54 
Saturday 12th August 2017,10 27 49 52 55 56 17 
Wednesday 9th August 2017,5 9 25 34 51 59 44 
Saturday 5th August 2017,14 24 30 45 49 56 27 
Wednesday 2nd August 2017,4 6 24 35 45 52 8 
Saturday 29th July 2017,1 26 41 55 56 59 36 
Wednesday 26th July 2017,5 10 29 35 55 56 30 
