17,49,12
22,49,12
25,45,11
27,47,11
32,49,12
35,48,11
5,56,13
13,42,10
16,51,12
28,38,09
34,45,11
41,57,14
56,48,11
40,55,13
2,41,10
8,64,15
19,49,12
51,40,09
23,47,11
26,50,12
38,61,15
59,45,11
29,50,12
30,51,12
39,49,12
53,46,11
58,60,14
15,41,10
31,50,12
33,32,07
52,54,13
4,51,12
18,45,11
47,45,11
57,42,10
36,55,13
42,62,15
14,45,11
44,42,10
55,51,12
12,46,11
20,50,12
37,51,12
49,42,10
21,40,09
3,42,10
43,47,11
54,59,14
1,43,10
50,38,09
6,43,10
10,45,11
9,38,09
11,51,12
45,60,14
46,48,11
24,40,09
7,44,10
48,40,09
